canal,tiempo_o_bache,productos_disponibles,producto_comprado
DIA 1,,,
ONLINE,08:00,1;2;3;4,4
ONLINE,08:00,1;2;3;4,1
ONLINE,08:00,1;2;3;4,1
ONLINE,08:00,1;2;3;4,3
ONLINE,08:00,1;2;3;4,2
ONLINE,08:00,1;2;3;4,1
ONLINE,08:00,1;2;3;4,3
ONLINE,08:00,1;2;3;4,4
ONLINE,08:00,1;2;3;4,1
ONLINE,08:00,1;2;3;4,1
ONLINE,08:00,1;2;3;4,4
ONLINE,08:00,1;2;3;4,1
ONLINE,08:00,1;2;3;4,3
ONLINE,08:00,1;2;3;4,1
ONLINE,08:00,1;2;3;4,4
ONLINE,08:00,1;2;3;4,1
ONLINE,08:00,1;2;3;4,1
PRESENCIAL,612.6736335914557,0;1;2;3;4,1
PRESENCIAL,618.7910002402562,0;2;3;4,2
PRESENCIAL,697.7568082429208,0;2;3;4,3
ONLINE,14:00,1;2;3;4,2
ONLINE,14:00,1;2;3;4,2
ONLINE,14:00,1;2;3;4,0
ONLINE,14:00,1;2;3;4,4
ONLINE,14:00,1;2;3;4,0
ONLINE,14:00,1;2;3;4,2
ONLINE,14:00,1;2;3;4,0
ONLINE,14:00,1;2;3;4,0
PRESENCIAL,808.9678062425745,0;2;3;4,2
PRESENCIAL,846.2162482830082,0;2;3;4,4
PRESENCIAL,877.1284881856982,0;2;3;4,2
PRESENCIAL,894.9087554948021,0;2;3;4,4
PRESENCIAL,1018.7752377341913,0;2;3;4,4
PRESENCIAL,1052.8785993540223,0;2;3;4,4
PRESENCIAL,1071.9330468744981,0;2;3;4,2
PRESENCIAL,1072.4677277518292,0;2;3;4,4
PRESENCIAL,1083.5318564760817,0;2;3,2
PRESENCIAL,1135.7418182512388,0;2;3,2
ONLINE,20:00,1;2;3;4,0
ONLINE,20:00,1;2;3;4,0
ONLINE,20:00,1;2;3;4,0
ONLINE,20:00,1;2;3;4,0
ONLINE,20:00,1;2;3;4,0
ONLINE,20:00,1;2;3;4,0
ONLINE,20:00,1;2;3;4,0
ONLINE,20:00,1;2;3;4,0
DIA 2,,,
ONLINE,08:00,1;2;3;4,3
ONLINE,08:00,1;2;3;4,4
ONLINE,08:00,1;2;3;4,4
ONLINE,08:00,1;2;3;4,1
ONLINE,08:00,1;2;3;4,1
ONLINE,08:00,1;2;3;4,1
ONLINE,08:00,1;2;3;4,1
PRESENCIAL,498.3901972624618,0;1;2;3;4,1
PRESENCIAL,614.1491533313399,0;1;2;3;4,2
PRESENCIAL,620.6573153640991,0;1;2;3;4,2
PRESENCIAL,638.8650628056066,0;1;2;3;4,1
PRESENCIAL,658.5124140487163,0;1;2;3;4,1
PRESENCIAL,701.3641017324361,0;1;2;3;4,2
PRESENCIAL,738.2250501726795,0;1;2;3;4,2
ONLINE,14:00,1;2;3;4,2
ONLINE,14:00,1;2;3;4,1
ONLINE,14:00,1;2;3;4,2
ONLINE,14:00,1;2;3;4,3
ONLINE,14:00,1;2;3;4,4
ONLINE,14:00,1;2;3;4,1
ONLINE,14:00,1;2;3;4,4
ONLINE,14:00,1;2;3;4,2
ONLINE,14:00,1;2;3;4,1
ONLINE,14:00,1;2;3;4,3
ONLINE,14:00,1;2;3;4,0
PRESENCIAL,840.583005284317,0;2;3;4,2
PRESENCIAL,845.2765178086601,0;2;3;4,4
PRESENCIAL,1088.1798110862883,0;2;3;4,4
PRESENCIAL,1105.4844544145983,0;2;3;4,4
PRESENCIAL,1155.0951832690355,0;2;3;4,2
ONLINE,20:00,1;2;3;4,2
ONLINE,20:00,1;2;3;4,0
ONLINE,20:00,1;2;3;4,0
ONLINE,20:00,1;2;3;4,0
ONLINE,20:00,1;2;3;4,4
ONLINE,20:00,1;2;3;4,4
ONLINE,20:00,1;2;3;4,0
ONLINE,20:00,1;2;3;4,4
ONLINE,20:00,1;2;3;4,0
ONLINE,20:00,1;2;3;4,0
ONLINE,20:00,1;2;3;4,0
ONLINE,20:00,1;2;3;4,0
ONLINE,20:00,1;2;3;4,0
